"ISO3","Area","Country Group","UN Region","EBRD Region","type","Item","unit","year","value","cpc_group","isscaap","grouped"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1997,27646,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1998,38320,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1999,51323,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2000,66312,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2001,72554,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2002,75925,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2003,88333,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2004,88516,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2005,115795,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2006,85709,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2007,100929,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2008,62806,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2009,62270,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2010,0,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2011,0,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2012,0,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2013,0,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2014,0,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2020,2.48,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2021,1924.386,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",2022,19.93,"Fish","Carps, barbels and other cyprinids","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1992,4838,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1993,5601,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1994,7100,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1995,8957,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1996,11285,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1997,28397,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1998,24697,"Fish","Flounders, halibuts, soles","no"
NA,"World",NA,NA,NA,"BRACKISHWATER","Fish","Q_tlw",1999,24553,"Fish","Flounders, halibuts, soles","no"
